IDN5,NM5,IDN4,NM4,IDN3,NM3,IDN2,NM2,NUTS3,NUTS3_CODE,LAU1,LAU1_CODE,LAU2,LAU2_CODE,x,y,x_long,y_lat
821004,Chropov,504394,Chropov,206,Skalica,2,Trnavský,Trnavský kraj,SK021,Skalica,SK0216,Chropov,SK0216504394,-548611.2471983,-1211130.0199949,17.3522084857927,48.79018090321
821012,Chrťany,516066,Chrťany,610,Veľký Krtíš,6,Banskobystrický,Banskobystrický kraj,SK032,Veľký Krtíš,SK032A,Chrťany,SK032A516066,-398441.626470296,-1279042.73793171,19.4562189177193,48.2948569221358
821039,Chtelnica,507121,Chtelnica,204,Piešťany,2,Trnavský,Trnavský kraj,SK021,Piešťany,SK0214,Chtelnica,SK0214507121,-532328.909555693,-1236541.14226445,17.6054772267065,48.576770931413
821047,Chudá Lehota,556408,Chudá Lehota,301,Bánovce nad Bebravou,3,Trenčiansky,Trenčiansky kraj,SK022,Bánovce nad Bebravou,SK0221,Chudá Lehota,SK0221556408,-487993.085266913,-1233138.25031812,18.200124261998,48.6433277802463
821055,Chvalová,514977,Chvalová,608,Revúca,6,Banskobystrický,Banskobystrický kraj,SK032,Revúca,SK0328,Chvalová,SK0328514977,-344632.827620989,-1258292.51789266,20.1631036790806,48.5127995913084
821063,Chvojnica,504408,Chvojnica,303,Myjava,3,Trenčiansky,Trenčiansky kraj,SK022,Myjava,SK0223,Chvojnica,SK0223504408,-544777.448929638,-1210605.4642079,17.4034494228965,48.7982330712546
821071,Chvojnica,514039,Chvojnica,307,Prievidza,3,Trenčiansky,Trenčiansky kraj,SK022,Prievidza,SK0227,Chvojnica,SK0227514039,-461031.278379347,-1208860.93967324,18.5377172590162,48.8813442911198
821098,Chynorany,543004,Chynorany,305,Partizánske,3,Trenčiansky,Trenčiansky kraj,SK022,Partizánske,SK0225,Chynorany,SK0225543004,-482690.460906925,-1237126.98198472,18.276456606745,48.61169404099
821110,Chyžné,525774,Chyžné,608,Revúca,6,Banskobystrický,Banskobystrický kraj,SK032,Revúca,SK0328,Chyžné,SK0328525774,-340471.3545866,-1238240.73613595,20.2029374802711,48.6950747344343
821128,Igram,555487,Igram,108,Senec,1,Bratislavský,Bratislavský kraj,SK010,Senec,SK0108,Igram,SK0108555487,-546311.836260296,-1268862.98507853,17.4590299905894,48.2754239347185
